name1,name2,direction,cas,note
Clean Crop MSMA 6 Plus,MSMA
Clodinafop-propargyl,prop-2-ynyl (R)-2-[4-(5-chloro-3-fluoropyridin-2-yloxy)phenoxypropionate
"Coal, 18 MJ per kg","Coal, hard, unspecified, in ground"
"Coal, 26.4 MJ per kg","Coal, hard, unspecified, in ground"
"Coal, 29.3 MJ per kg","Coal, hard, unspecified, in ground"
"Coal, brown","Coal, brown, in ground"
"Coal, brown, 10 MJ per kg","Coal, brown"
"Coal, brown, 8 MJ per kg","Coal, brown"
"Coal, hard","Coal, hard, unspecified, in ground"
Cobalt,"Cobalt, in ground"
"Cobalt, Co 5.0E-2%, in mixed ore","Cobalt, Co 5.0E-2%, in mixed ore, in ground"
Cobra 2E,Lactofen
Colemanite,"Colemanite, in ground"
Comite,Propargite
Copper,"Copper, in ground"
Copper,"Copper, ion"
"Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore","Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore, in ground"
"Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore","Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore, in ground"
"Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore","Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore, in ground"
"Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore","Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground"
"Copper, 1.13% in sulfide, Cu 0.76% and Ni 0.76% in crude ore","Copper, 1.13% in sulfide, Cu 0.76% and Ni 0.76% in crude ore, in ground"
"Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore","Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore, in ground"
"Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore","Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore, in ground"
"Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore","Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore, in ground"
"Copper, Cu 0.2%, in mixed ore","Copper, Cu 0.2%, in mixed ore, in ground"
